RegionID,RegionName,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
54296,San Diego,CA,San Diego-Carlsbad,San Diego County,9,191090,190767,190519,190255,189946,189663,189608,189603,189467,189186,189148,189422,189937,190359,190733,191458,192530,193991,195195,196645,198429,200814,203226,205397,207390,209408,211811,213916,216078,217979,220197,222170,224188,225865,227600,229220,231047,233155,235049,237383,239452,241510,243795,246429,249440,252731,255930,259241,262300,265451,269729,274298,279185,283707,287728,291906,295849,299659,304110,309071,314667,319181,322391,324329,326356,328856,331819,334966,338036,341873,345309,348674,351871,356040,361062,366930,373271,379093,385289,391111,399610,407765,415147,420816,425579,430663,434779,440473,445696,452030,457335,463578,464726,465221,467833,473378,480912,488084,498239,507167,515398,523600,532291,539067,546962,552890,558524,564600,570850,575925,576896,577510,578850,579382,578967,578162,578198,580466,580825,581181,578860,578476,576418,573742,568791,564914,561336,559639,556170,553456,550536,544710,538907,532238,528914,524733,522544,518978,515085,508895,503646,496496,488316,479676,474191,467279,461411,453380,446921,437982,430768,422976,417232,412059,409690,408714,403833,402151,398342,400400,399959,403721,406558,411762,414509,416958,417643,419554,423325,423927,423894,420895,420053,417685,414299,410104,407739,405252,403020,399031,396779,394583,393249,391259,388118,385621,384130,383635,381282,380884,380959,382633,382613,384442,387023,389940,393539,397745,403104,407783,415481,421107,426437,433139,441722,450410,458634,467259,476774,482095,485549,487920,490418,495473,501680,501526,499700,496101,496160,497506,495363,496312,496752,500908,501864,500233,499577,505108,509921,514564,514932,516053,518505,521553,525185,527814,532435,539817,542286,541106,541006,542853,546941,547936,552070,555652,560297,563167,565732,565440,568616,573748,580635,587211,591521,594792,596179,599750,604519,608668,613135,620674,627503,631692,630813,629803,630451,632797,636102,637935,639709,640812,641131,638543,636025,634605,637201,639539,641532,643626,645453,647731,649563,653078,657488,663624,669939
51405,Chula Vista,CA,San Diego-Carlsbad,San Diego County,96,173181,173073,172918,172718,172351,172055,172059,172114,171950,171577,171486,171606,171950,171964,172029,172366,173186,174120,174634,175212,176195,177775,179382,180675,181772,182906,184352,185612,186803,188002,189531,190983,192423,193504,194628,195603,196839,198252,199530,201096,202444,203677,204975,206634,208612,210907,213118,215552,217790,220051,223056,226190,229676,232883,235739,238613,241277,243883,247032,250656,254797,258271,260929,262826,264872,267350,270271,273259,275937,278942,281748,284760,287928,291750,296203,301341,306896,312093,317596,323067,330134,336396,341983,346884,351816,357427,362500,368880,374655,381064,386620,392796,397429,403849,412201,420485,428064,434999,444339,452794,461126,470376,480451,489183,497711,503183,508384,514993,523074,530233,533660,536478,539407,540865,541137,540930,540860,542501,542264,542950,541810,542733,542177,540841,537373,534481,531421,529533,526135,523462,520928,515266,509760,503553,499706,494843,491122,486407,480999,473283,466009,456521,445287,433360,423212,410822,397440,382605,369982,357720,347668,337871,329872,322927,318811,316190,310627,307975,307351,311488,314111,316850,319071,323112,325610,327756,328360,329755,333358,334694,334846,332705,332040,330862,328628,325939,324841,323550,322597,320475,319858,319272,318074,316147,313334,312073,311636,311673,310236,310337,310877,312428,312218,313432,315381,317608,320008,323371,327768,331961,337705,341851,345515,350505,357411,364633,372293,380295,389549,394369,397563,399664,402697,408101,414820,416476,416499,414807,415396,416893,415809,417840,419920,424686,426549,425963,425864,430954,435275,439644,440468,442004,444380,446989,449932,452230,456293,462696,465048,464154,464383,466122,469760,470878,474491,477822,481567,483955,485869,485406,487942,492095,497434,502231,505158,507973,508988,511388,514067,516200,519114,524661,529807,532397,531204,529721,529632,530481,532553,533618,535149,535884,535962,533541,531503,530688,533010,535202,537098,539047,540594,542550,544224,547458,551239,556492,561532
6285,Oceanside,CA,San Diego-Carlsbad,San Diego County,135,154793,154727,154553,154312,154093,153933,153936,153929,153879,153738,153811,153989,154336,154515,154911,155625,156558,157657,158586,159800,161266,163222,165278,167237,169028,170922,173076,175079,177128,179195,181558,183688,185730,187424,189173,190797,192620,194668,196550,198747,200619,202336,204088,206102,208461,211061,213477,216000,218373,220821,223966,227205,230682,233885,236739,239836,242749,245505,248820,252523,256732,260096,262821,264772,266918,269446,272381,275343,277934,281017,283815,286884,289976,293739,297942,302684,307859,312581,317689,322482,328845,334153,338890,342912,347075,351817,355994,361623,366772,372868,378001,384125,388660,395218,403614,412009,419643,426754,436226,444582,452531,460815,469776,476976,483920,488078,492143,497755,504729,510808,513468,515722,518454,520137,520983,521524,522583,525004,525519,526389,525400,526246,525489,524369,521295,519025,516721,515775,512920,510478,507698,502053,496024,489056,485415,481213,478853,474734,470125,463092,456774,448406,438848,429071,422167,413912,406241,395830,386221,375145,366112,357233,349603,343011,339042,336600,330985,328123,323107,323099,321531,323630,324706,327767,329750,331891,332927,334285,337450,337723,338310,336845,337251,335946,333825,331048,329673,327840,326200,323619,322239,320993,320084,318596,315997,314070,312954,312567,310621,310232,309984,310729,309897,310787,312205,313960,315999,318771,322885,326726,332835,336990,340939,346109,353165,360792,368710,376926,386093,391510,395354,398012,401032,406373,412675,413767,413560,411399,411898,412999,412043,413718,415074,418864,419798,418921,418984,424220,428659,432976,433428,434631,436353,438865,441524,443897,447917,454184,456358,455573,455607,457071,460756,462408,466737,470342,474562,477227,479357,479117,481989,486610,492542,498278,502214,505454,506924,509789,513510,516561,520295,526154,531316,533922,532453,530866,530467,531763,533876,535125,536127,536791,536817,534505,532560,531678,534383,536552,538453,539992,541363,543070,544671,547533,550937,555881,560665
11337,Escondido,CA,San Diego-Carlsbad,San Diego County,166,172020,171751,171526,171321,171026,170814,170773,170770,170697,170551,170575,170954,171481,171905,172305,172935,173865,175059,176173,177463,179001,180945,182918,184727,186421,188009,189923,191660,193631,195369,197175,198832,200501,201946,203478,204752,206312,208063,209743,211751,213349,214940,216681,218752,221108,223706,226143,228724,230986,233429,236705,240100,243822,247179,250417,253774,256958,259795,263046,266812,271185,274771,277305,278998,280835,283035,285408,287940,290202,293208,295963,299107,302183,305936,310327,315411,320933,326156,331811,337191,343942,349715,355070,359532,364073,368885,373237,378774,383817,389835,394985,400985,405567,411689,419560,426986,434053,440915,450463,459228,467638,476155,485421,493124,500725,505570,510316,517177,525227,532307,535159,537540,540259,542172,542941,543211,543833,546040,546460,547298,546262,547137,546919,546141,543224,540980,538579,537560,534345,532103,529649,524058,517968,510820,506829,501858,498554,493612,488081,480334,473251,463719,452439,440618,431685,421411,412011,400701,390722,378644,368665,358506,350371,342711,337919,334571,328518,324916,319230,318264,315966,318011,319321,322910,324941,327561,329081,331710,335806,337445,339013,338300,339360,338201,336515,333523,332171,330521,329086,326108,324034,322618,321768,320479,317376,315084,313199,312650,310420,309732,309473,310669,310507,311364,312944,314955,318045,321955,326986,331409,337961,342708,346969,352291,359628,367350,374937,382773,391327,396325,399876,402391,405145,409846,415636,415908,414666,411801,412002,412975,411543,412426,413056,416399,417154,415889,415171,419714,423955,428340,429035,430076,431771,434272,437264,439757,443901,450683,453704,453665,454091,456022,459998,461967,466315,469809,473810,476122,478167,477477,479798,484009,489619,494343,496761,498476,499235,501550,504202,506432,509199,514584,519301,521778,520799,520108,520460,522364,524186,525532,526817,527812,527836,525271,523529,522736,525073,526525,528065,529292,530611,531828,532968,535133,538007,542322,546041
38333,El Cajon,CA,San Diego-Carlsbad,San Diego County,185,176852,176617,176434,176283,176091,175797,175611,175492,175351,174958,174837,174857,175209,175394,175533,175931,176609,177690,178600,179694,181010,183027,185054,186905,188292,189712,191422,192878,194366,195809,197595,199153,200609,201711,203003,204177,205807,207652,209389,211298,213037,214715,216657,218834,221303,223993,226416,229042,231330,233776,237148,240842,244673,247866,250446,253257,256068,258861,262323,266275,270800,274345,276827,278411,280210,282684,285697,288808,291693,294926,298039,301246,304550,308735,313682,319377,325515,331425,337773,343819,351191,357389,362619,367075,371740,376888,381218,387041,392501,398779,403971,410095,414259,420473,428650,437103,444737,451916,461774,470301,478335,486618,495402,502342,509268,513636,518000,523677,530462,535895,537543,538698,540000,540021,539471,538788,538925,540268,539883,539966,538034,537950,536273,534488,531089,528703,525979,524509,521102,518211,514856,508795,502974,496637,493478,489812,487435,483343,478414,472076,466570,459584,450912,441314,434243,425895,418716,408078,398640,387550,379062,369431,360992,353251,349243,347179,341951,338712,333078,333198,332011,334575,336280,340147,342640,344480,344202,344496,346678,346806,346568,343922,342707,340105,336345,332209,329624,327309,325419,322182,320106,318335,317584,316215,313779,311942,311364,311342,309554,309177,309223,310621,310504,311715,313639,316137,319252,322495,326359,329857,336122,340607,344414,349117,355699,362564,369414,376438,384314,388822,392035,394336,396308,400383,405921,406963,406581,404190,404175,404829,402872,403734,404224,407686,408954,408368,408283,412603,416191,420303,420886,422316,424743,427779,431466,434150,438102,444404,446707,446344,446547,448139,451684,452833,456361,459065,462419,464481,466490,465843,468085,471753,477135,481926,485248,488225,489605,492479,495332,497603,500252,505440,510456,513333,512852,511989,511589,511914,513152,513995,515410,516325,516541,514559,512720,511825,513398,515014,516787,518815,520552,522219,523539,526135,529370,533888,538227
41517,Vista,CA,San Diego-Carlsbad,San Diego County,306,160708,160517,160327,160228,160244,160349,160573,160769,160829,160786,161092,161656,162304,162869,163435,164136,164999,166147,167201,168533,170244,172441,174595,176442,178226,180097,182361,184384,186313,188025,190086,192017,193892,195486,197223,198881,200568,202225,203809,205932,207954,209794,211507,213464,215735,218165,220316,222547,224676,227170,230516,233910,237259,240087,242660,245550,248465,251360,254904,258856,263238,266581,268842,270212,271900,274311,277283,280181,282633,285492,288169,291045,294145,297987,302524,307718,313614,319282,324988,330361,336818,342582,347412,351777,355751,360213,364073,369436,374115,379491,384302,390394,395745,402240,410799,418810,427091,435040,445494,454509,463031,471731,480959,488088,494542,498634,502641,508808,515786,521813,524176,526676,529789,531833,532761,533205,534149,536585,537176,537968,536800,537630,536957,535351,531288,528407,525705,525276,522676,520841,518188,512469,506551,499867,496586,492862,491046,487238,482405,474661,467882,459076,449247,438873,430795,420904,412100,400740,390817,378557,369091,359331,351075,343450,338918,336617,331481,329049,323422,322521,319882,322208,323548,326846,328862,331013,332018,333059,336005,336118,337097,336484,338096,337505,335489,332904,331680,330077,328118,325081,323485,322517,322065,320741,317252,314113,312182,311790,309778,309257,309183,310572,310044,310750,312096,313847,316885,320948,326226,330589,337617,343085,348417,354061,361571,369502,377571,386299,395641,401178,404898,407460,409893,414143,419250,419855,419241,417246,417704,418625,416994,418032,418862,422391,423071,421973,421728,426871,431517,435863,436403,437453,439641,442275,445190,447325,451670,458466,461395,460897,460874,462132,465438,466298,469585,472349,476149,478850,480789,480462,482834,487079,492318,497561,501259,504568,505906,508824,512226,515003,518298,523656,528690,530940,530054,528898,529148,530930,533756,535579,537160,538023,538216,536098,534566,534393,537207,539384,541003,542265,543276,544540,545710,548245,551366,555898,559895
3975,Carlsbad,CA,San Diego-Carlsbad,San Diego County,341,259370,259398,259400,259294,259104,259035,259294,259909,260383,260689,261175,261844,262833,263696,264770,266369,268457,270836,272952,275181,277971,281599,285578,289525,293212,297042,301395,305509,309912,314177,318526,322025,325300,328115,331079,333884,336641,339617,341789,344436,346192,347969,350461,353878,357762,361602,365026,368166,371033,374094,378943,384220,390075,395246,399340,403595,407674,412090,417433,423827,431246,437046,441225,443671,446473,449767,453739,457756,461453,466056,470035,473889,477146,481735,487058,493314,499629,505314,511638,517723,527772,537232,545887,551947,557043,562592,567059,573646,580124,588473,595602,603747,604665,604600,607160,614300,624544,634649,648634,661105,672332,683173,694147,702660,712870,720860,728560,736493,743740,748811,748306,747575,748144,747802,746825,745472,745232,747661,747757,747636,744119,743031,740308,736873,730839,726239,722073,720778,717666,715803,713213,706708,700094,692585,689524,686051,685154,682551,679333,673266,668257,660086,650514,640527,636238,631169,628190,621005,615312,605702,598585,589572,582657,576921,575537,576758,571382,569624,562611,564139,562141,566705,569351,575843,579684,583587,584291,585584,589301,588391,588175,584030,583160,579772,575445,570098,566899,563202,560713,556235,554293,552630,551914,549830,546043,543186,541371,540145,536210,534764,533579,534628,533152,534229,536575,539692,543463,547560,553834,559814,570016,577229,584366,593245,604927,616330,626970,638336,650883,658040,662447,665869,669800,677220,685953,685912,684047,680208,681099,683768,682776,686490,688862,694942,696185,694395,693688,701715,708214,714637,715068,716486,718755,721764,725825,729212,735353,745131,748333,746809,746331,748564,753714,754890,760576,765355,771611,775263,778469,777496,781040,786584,794752,802033,807064,809821,810284,812726,817525,821558,826693,835928,844356,848918,847473,846360,847761,850763,854096,856248,858688,860515,860738,857352,853631,851674,854171,856674,858130,860606,863347,866662,868785,872946,878428,886121,894441
40737,San Marcos,CA,San Diego-Carlsbad,San Diego County,469,180128,179921,179729,179648,179320,179030,178837,178808,178748,178643,178740,179064,179649,179903,180220,180685,181735,183074,184395,185801,187427,189379,191403,193296,195287,197374,199748,201862,204119,206239,208466,210420,212378,214284,216380,218315,219945,221701,223329,225396,227016,228640,230681,233083,235696,238302,240548,242918,245351,247941,251470,255233,259313,262721,265400,268296,271361,274527,278424,282649,287316,291110,293909,295627,297361,299634,302424,305378,307715,310613,313126,316166,319286,323315,327806,333058,338988,344842,351118,356838,363774,369674,374894,379558,384128,388859,393064,398514,403383,409050,413897,420037,425140,431712,440310,448048,455695,462953,473035,482294,491359,500516,510234,517978,525553,530238,534847,541410,549082,555751,558470,560720,563220,564865,565470,565680,565972,568076,568183,568948,567680,568345,567223,565360,561534,558685,556066,554971,551810,549260,546184,539871,533047,525661,522145,518600,517247,513796,509222,501862,495735,487433,477841,467855,461148,452663,444900,433746,422984,409985,400170,390939,383417,376585,372979,371373,366169,363882,358841,359413,358284,361794,363804,367745,369866,372296,373014,374101,376938,376931,377206,375366,375946,375081,372905,369603,367632,365400,363601,360338,358636,357163,356503,354963,352018,349075,347325,346788,344794,344500,344392,345776,345464,346618,348471,350404,352854,356367,361388,366020,373103,377958,382473,388395,396496,405075,413168,422225,432297,438777,443147,446338,449679,455699,463025,464184,463533,461050,462148,463858,462717,463859,465013,469087,470370,469110,468753,474303,479411,484280,484833,486304,488667,491602,494301,496317,500366,507189,509232,507913,507089,508156,511479,512155,515743,518804,523241,526186,528357,527522,529987,534479,540732,546445,550101,552841,553744,556477,559948,562656,566182,572721,578989,582455,581471,580612,581022,583225,585954,587566,588474,588934,588754,586416,584333,583170,585506,587113,588466,589518,590491,591622,592784,595218,598051,601835,605206
41025,Spring Valley,CA,San Diego-Carlsbad,San Diego County,615,153403,153468,153468,153518,153195,152705,152398,152213,151952,151367,150849,150562,150569,150332,150094,150023,150583,151733,152574,153359,154258,155822,157621,159132,160480,161676,163180,164344,165646,166550,167703,168800,170001,171014,171948,172916,174047,175578,177062,178884,180209,181522,183106,184926,186998,189180,191261,193202,194909,196665,199243,201836,204906,207593,210037,212579,215127,217639,220737,224390,228690,232254,235031,237297,239598,242426,245422,248609,251329,254336,257169,260167,263167,266720,270627,275141,280159,285112,290440,295470,301804,307691,312948,317974,322744,328080,332993,339110,344704,350665,355717,361725,366389,372422,380102,387247,394410,401167,410577,418958,426999,435228,444056,451075,457926,462171,466330,472136,478742,484537,486176,487366,488983,490072,490294,490118,490300,491966,492008,492672,491884,492537,492173,491489,489038,486981,484863,484148,481849,479755,477619,472993,468587,463563,461231,458027,455636,450318,443533,434964,427969,419589,409224,397823,388284,376957,366888,353953,342292,331239,323770,316501,308822,301663,297295,293626,286580,282439,276866,277101,276761,279189,280474,282896,284446,285961,286189,288214,292657,295303,297179,296106,295709,293577,290784,287727,286772,285383,284539,282241,281194,279542,278603,277303,275374,274262,273269,272715,270503,269932,269908,271026,270954,272200,274149,276789,280316,283935,288436,292728,299354,304517,308989,314259,320986,327668,333974,339838,346495,350385,353453,355563,357504,361426,366220,366968,365721,363767,364200,365985,364849,365659,366397,369754,370899,370041,369986,373980,377982,381786,382995,384429,386782,389887,393125,395739,399697,405832,408416,408458,409356,411575,415270,416599,420116,422895,426670,429249,431686,431409,433501,437161,442017,446679,449316,452283,453729,456795,459239,461166,463550,468721,473910,476959,476423,474921,474605,475501,477451,478819,480067,480820,480434,478339,476643,475944,478077,480333,482590,484452,485930,487409,489325,492489,496636,501618,506244
46089,La Mesa,CA,San Diego-Carlsbad,San Diego County,645,172584,172503,172598,172837,173079,173159,173293,173273,173160,172979,172963,173133,173433,173767,173841,173995,174244,175123,175977,177266,178673,180360,182127,183792,185614,187176,189084,190621,192403,193791,195435,196931,198636,200229,201812,203372,205142,207330,209283,211722,213811,215913,218008,220336,223069,226152,229054,231925,234295,236804,240338,244182,248461,252418,256116,259800,263092,266097,269863,274190,279144,283123,285833,287366,288687,290650,293014,295821,298709,302499,305963,309293,312524,316469,321573,327374,333995,339796,346265,352252,361196,369606,376968,382453,387004,392202,395944,401401,405976,411741,415928,420881,419705,417623,417963,422064,428431,434311,443086,450472,457015,463837,471183,477031,484157,489899,494934,499948,504724,508165,507820,507267,508232,508308,507751,506488,506407,508283,508837,509260,507347,507097,505633,503665,499444,495733,492357,490961,488195,485990,483292,477941,472833,467093,463394,458773,455420,452153,448553,443630,439322,433229,426113,418153,412890,406280,399756,391426,384304,376065,369083,361467,355767,350968,348789,348682,345256,344466,344467,349346,353350,358099,362384,367605,370511,373142,374336,375965,378773,379330,378109,374503,371935,368564,364335,360075,358202,356165,353974,350113,347882,346130,345469,344321,341711,340501,340145,340740,338542,338094,338416,340836,341730,343286,345114,347470,351285,355418,360291,364356,371960,377125,381802,386773,394224,402112,409831,417508,425728,430118,432881,434527,436143,440268,445802,446337,444933,441706,441123,441755,438605,438771,438535,442584,443649,442811,442346,447012,450807,454854,455468,456773,459564,462595,466387,469022,473250,479942,482272,481580,481657,483474,487218,487801,491291,494229,498186,500257,502424,502078,504890,509240,515540,521452,525325,528930,531012,535054,539444,542914,546954,553161,558771,561989,561274,560271,560157,560497,561391,561503,562832,564200,564347,562149,559517,557927,558998,560576,562329,564783,567195,569716,571312,574264,578308,584116,590590
